127.0.0.1 - - [28/Sep/2016:10:40:54 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/Sep/2016:10:41:02 -0300] "GET /08-Livro/altera-livro.jsp HTTP/1.1" 200 2780
0:0:0:0:0:0:0:1 - - [28/Sep/2016:10:41:03 -0300] "GET /08-Livro/css/bootstrap.min.css HTTP/1.1" 200 121205
0:0:0:0:0:0:0:1 - - [28/Sep/2016:10:41:03 -0300] "GET /08-Livro/js/jquery-3.1.0.min.js HTTP/1.1" 200 86355
0:0:0:0:0:0:0:1 - - [28/Sep/2016:10:41:03 -0300] "GET /08-Livro/js/bootstrap.min.js HTTP/1.1" 200 37051
0:0:0:0:0:0:0:1 - - [28/Sep/2016:10:41:03 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [28/Sep/2016:10:41:03 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [28/Sep/2016:10:41:11 -0300] "POST /08-Livro/livroServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Sep/2016:10:41:30 -0300] "POST /08-Livro/livroServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Sep/2016:10:41:39 -0300] "GET /08-Livro/cadastro-livro.jsp HTTP/1.1" 200 2646
0:0:0:0:0:0:0:1 - - [28/Sep/2016:10:41:41 -0300] "GET /08-Livro/home.jsp HTTP/1.1" 200 1740
0:0:0:0:0:0:0:1 - - [28/Sep/2016:10:41:42 -0300] "GET /08-Livro/cadastro-livro.jsp HTTP/1.1" 200 2646
0:0:0:0:0:0:0:1 - - [28/Sep/2016:10:41:43 -0300] "GET /08-Livro/livroServlet?acao=listar HTTP/1.1" 200 3028
0:0:0:0:0:0:0:1 - - [28/Sep/2016:10:41:44 -0300] "GET /08-Livro/cadastro-livro.jsp HTTP/1.1" 200 2646
0:0:0:0:0:0:0:1 - - [28/Sep/2016:10:41:45 -0300] "GET /08-Livro/home.jsp HTTP/1.1" 200 1740
0:0:0:0:0:0:0:1 - - [28/Sep/2016:10:41:45 -0300] "GET /08-Livro/cadastro-livro.jsp HTTP/1.1" 200 2646
0:0:0:0:0:0:0:1 - - [28/Sep/2016:10:41:53 -0300] "POST /08-Livro/livroServlet HTTP/1.1" 200 2665
0:0:0:0:0:0:0:1 - - [28/Sep/2016:10:41:54 -0300] "GET /08-Livro/livroServlet?acao=listar HTTP/1.1" 200 3396
0:0:0:0:0:0:0:1 - - [28/Sep/2016:10:41:58 -0300] "GET /08-Livro/cadastro-livro.jsp HTTP/1.1" 200 2646
0:0:0:0:0:0:0:1 - - [28/Sep/2016:10:43:13 -0300] "GET /08-Livro/cadastro-livro.jsp HTTP/1.1" 200 2646
0:0:0:0:0:0:0:1 - - [28/Sep/2016:10:43:14 -0300] "GET /08-Livro/livroServlet?acao=listar HTTP/1.1" 200 3396
0:0:0:0:0:0:0:1 - - [28/Sep/2016:10:43:17 -0300] "GET /08-Livro/livroServlet?isbn=1&acao=abrirForm HTTP/1.1" 500 4162
