127.0.0.1 - - [06/Oct/2016:08:45:03 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [06/Oct/2016:08:45:11 -0300] "GET /FIAPJobs/cadastro-vaga.jsp HTTP/1.1" 200 4456
0:0:0:0:0:0:0:1 - - [06/Oct/2016:08:45:11 -0300] "GET /FIAPJobs/css/bootstrap.min.css HTTP/1.1" 200 121205
0:0:0:0:0:0:0:1 - - [06/Oct/2016:08:45:11 -0300] "GET /FIAPJobs/js/jquery-3.1.0.min.js HTTP/1.1" 200 86355
0:0:0:0:0:0:0:1 - - [06/Oct/2016:08:45:11 -0300] "GET /FIAPJobs/js/bootstrap.min.js HTTP/1.1" 200 37051
0:0:0:0:0:0:0:1 - - [06/Oct/2016:08:45:12 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [06/Oct/2016:08:45:12 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [06/Oct/2016:08:46:00 -0300] "GET /FIAPJobs/cadastro-vaga.jsp HTTP/1.1" 200 4511
0:0:0:0:0:0:0:1 - - [06/Oct/2016:08:46:00 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [06/Oct/2016:08:46:00 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [06/Oct/2016:08:47:25 -0300] "GET /FIAPJobs/cadastro-vaga.jsp HTTP/1.1" 200 4635
0:0:0:0:0:0:0:1 - - [06/Oct/2016:08:47:25 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [06/Oct/2016:08:47:25 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [06/Oct/2016:08:51:32 -0300] "GET /FIAPJobs/cadastro-vaga.jsp HTTP/1.1" 200 4569
0:0:0:0:0:0:0:1 - - [06/Oct/2016:08:51:32 -0300] "GET /FIAPJobs/js/jquery-3.1.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2016:08:51:32 -0300] "GET /FIAPJobs/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2016:08:51:32 -0300] "GET /FIAPJobs/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2016:08:52:03 -0300] "GET /FIAPJobs/cadastro-vaga.jsp HTTP/1.1" 200 4569
0:0:0:0:0:0:0:1 - - [06/Oct/2016:08:52:04 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
